name,rmse_mean,rmse_std,mae_mean,r2_mean
lasso,0.12031326297382332,0.016683124333593556,0.07969878138857298,0.904538434000316
stacking,0.12034167668136715,0.01687375439814853,0.07963454996233472,0.9044821008395996
elasticnet,0.12114035249709201,0.016041355076301875,0.08004354189957817,0.90331980807027
ridge,0.12258698552120742,0.016202826677562114,0.08068145952017328,0.9009442631687861
xgboost,0.12622162988003174,0.014298577013100822,0.08426622080439863,0.8952415838799339
gradient_boosting,0.12667872500260274,0.014539239262689121,0.08538087373532965,0.8944247440815747
lightgbm,0.13063794153461178,0.0129624512757717,0.08958060546754332,0.8878009753163699
linear,0.13886152048782058,0.0133931656352667,0.08933292585804951,0.8725952574711069
random_forest,0.14315861962191678,0.013461098492423478,0.09756740169041304,0.8653093467662265
